CMS02PO                                 

   % INSP O2    PO2      PCO2        PH    MEAS SAT      HB      HCRIT     TEMP

     21.00     46.00     30.70      7.38     82.40     16.00     54.00    37.00
     21.00     45.00     32.80      7.35     80.90     16.50     55.00    37.00
     21.00     46.00     33.30      7.34     80.10     16.60     57.00    37.00
     21.00     46.00     32.40      7.30     79.60     16.80     57.00    37.00
     21.00     55.00     24.30      7.29     85.60     17.30     57.00    37.00
     21.00     32.00     38.10      7.37     59.70     16.20     54.00    37.00


 P50 CALCS EXCLUDE SATRNS LOWER THAN 10.0  AND HIGHER THAN 90.0



   TRIAL P50       SUM OF SQUARES

      20.0            738.5775
      20.1            717.7366
      20.2            697.0843
      20.3            676.6266
      20.4            656.3712
      20.5            636.3230
      20.6            616.4889
      20.7            596.8745
      20.8            577.4861
      20.9            558.3297
      21.0            539.4111
      21.1            520.7363
      21.2            502.3105
      21.3            484.1401
      21.4            466.2306
      21.5            448.5873
      21.6            431.2162
      21.7            414.1224
      21.8            397.3111
      21.9            380.7878
      22.0            364.5582
      22.1            348.6267
      22.2            332.9989
      22.3            317.6797
      22.4            302.6739
      22.5            287.9865
      22.6            273.6219
      22.7            259.5857
      22.8            245.8815
      22.9            232.5144
      23.0            219.4885
      23.1            206.8085
      23.2            194.4787
      23.3            182.5027
      23.4            170.8850
      23.5            159.6297
      23.6            148.7406
      23.7            138.2216
      23.8            128.0761
      23.9            118.3081
      24.0            108.9208
      24.1             99.9178
      24.2             91.3024
      24.3             83.0781
      24.4             75.2473
      24.5             67.8140
      24.6             60.7803
      24.7             54.1496
      24.8             47.9242
      24.9             42.1070
      25.0             36.7003
      25.1             31.7068
      25.2             27.1284
      25.3             22.9676
      25.4             19.2265
      25.5             15.9069
      25.6             13.0108
      25.7             10.5400
      25.8              8.4961
      25.9              6.8806
      26.0              5.6951
      26.1              4.9409
      26.2              4.6192
      26.3              4.7312
      26.4              5.2778
      26.5              6.2602
      26.6              7.6789
      26.7              9.5347
      26.8             11.8284
      26.9             14.5604
      27.0             17.7311
      27.1             21.3408
      27.2             25.3897
      27.3             29.8781
      27.4             34.8057
      27.5             40.1727
      27.6             45.9788
      27.7             52.2237
      27.8             58.9073
      27.9             66.0286
      28.0             73.5876
      28.1             81.5834
      28.2             90.0153
      28.3             98.8826
      28.4            108.1842
      28.5            117.9194
      28.6            128.0869
      28.7            138.6857
      28.8            149.7144
      28.9            161.1720
      29.0            173.0572
      29.1            185.3679
      29.2            198.1032
      29.3            211.2612
      29.4            224.8406
      29.5            238.8393
      29.6            253.2556
      29.7            268.0877
      29.8            283.3339
      29.9            298.9919
      30.0            315.0596
      30.1            331.5352
      30.2            348.4166
      30.3            365.7011
      30.4            383.3869
      30.5            401.4717
      30.6            419.9531
      30.7            438.8283
      30.8            458.0956
      30.9            477.7518
      31.0            497.7949
      31.1            518.2222
      31.2            539.0305
      31.3            560.2181
      31.4            581.7817
      31.5            603.7191
      31.6            626.0269
      31.7            648.7029
      31.8            671.7440
      31.9            695.1475
      32.0            718.9106
      32.1            743.0297
      32.2            767.5024
      32.3            792.3259
      32.4            817.4974
      32.5            843.0136
      32.6            868.8718
      32.7            895.0688
      32.8            921.6021
