CMS07PR                                 

   % INSP O2    PO2      PCO2        PH    MEAS SAT      HB      HCRIT     TEMP

     21.00     48.00     26.00      7.36     84.60     18.60     61.00    37.00
     21.00     45.00     26.40      7.35     81.40     19.20     62.00    37.00
     21.00     48.00     24.20      7.29     80.40     19.30     63.00    37.00
     21.00     47.00     23.60      7.27     78.30     19.80     63.00    37.00
     21.00     44.00     29.70      7.34     83.90     17.90     59.00    37.00


 P50 CALCS EXCLUDE SATRNS LOWER THAN 10.0  AND HIGHER THAN 90.0



   TRIAL P50       SUM OF SQUARES

      20.0            428.2372
      20.1            416.6287
      20.2            405.0825
      20.3            393.6039
      20.4            382.1979
      20.5            370.8701
      20.6            359.6256
      20.7            348.4705
      20.8            337.4096
      20.9            326.4488
      21.0            315.5935
      21.1            304.8494
      21.2            294.2224
      21.3            283.7178
      21.4            273.3415
      21.5            263.0992
      21.6            252.9965
      21.7            243.0394
      21.8            233.2330
      21.9            223.5838
      22.0            214.0972
      22.1            204.7789
      22.2            195.6344
      22.3            186.6697
      22.4            177.8904
      22.5            169.3021
      22.6            160.9101
      22.7            152.7204
      22.8            144.7384
      22.9            136.9695
      23.0            129.4192
      23.1            122.0928
      23.2            114.9956
      23.3            108.1330
      23.4            101.5102
      23.5             95.1321
      23.6             89.0041
      23.7             83.1309
      23.8             77.5174
      23.9             72.1687
      24.0             67.0894
      24.1             62.2841
      24.2             57.7573
      24.3             53.5136
      24.4             49.5574
      24.5             45.8928
      24.6             42.5243
      24.7             39.4557
      24.8             36.6910
      24.9             34.2341
      25.0             32.0888
      25.1             30.2587
      25.2             28.7474
      25.3             27.5582
      25.4             26.6944
      25.5             26.1593
      25.6             25.9559
      25.7             26.0871
      25.8             26.5559
      25.9             27.3649
      26.0             28.5167
      26.1             30.0137
      26.2             31.8584
      26.3             34.0528
      26.4             36.5993
      26.5             39.4997
      26.6             42.7559
      26.7             46.3697
      26.8             50.3426
      26.9             54.6763
      27.0             59.3720
      27.1             64.4311
      27.2             69.8547
      27.3             75.6437
      27.4             81.7993
      27.5             88.3222
      27.6             95.2129
      27.7            102.4722
      27.8            110.1005
      27.9            118.0983
      28.0            126.4656
      28.1            135.2027
      28.2            144.3096
      28.3            153.7863
      28.4            163.6326
      28.5            173.8482
      28.6            184.4328
      28.7            195.3860
      28.8            206.7073
      28.9            218.3956
      29.0            230.4507
      29.1            242.8716
      29.2            255.6574
      29.3            268.8072
      29.4            282.3197
      29.5            296.1938
      29.6            310.4287
      29.7            325.0226
      29.8            339.9743
      29.9            355.2823
      30.0            370.9453
      30.1            386.9615
      30.2            403.3293
      30.3            420.0469
      30.4            437.1127
      30.5            454.5251
      30.6            472.2813
      30.7            490.3806
      30.8            508.8200
      30.9            527.5976
      31.0            546.7120
      31.1            566.1607
      31.2            585.9409
      31.3            606.0513
      31.4            626.4890
      31.5            647.2520
      31.6            668.3378
      31.7            689.7441
      31.8            711.4685
      31.9            733.5084
      32.0            755.8613
      32.1            778.5249
      32.2            801.4963
      32.3            824.7734
      32.4            848.3530
      32.5            872.2334
      32.6            896.4116
      32.7            920.8847
      32.8            945.6500
      32.9            970.7053
      33.0            996.0479
      33.1           1021.6740
