CMS02PR                                                     

   % INSP O2    PO2      PCO2        PH    MEAS SAT      HB      HCRIT     TEMP

     21.00     50.00     25.60      7.32     86.40     19.20     71.00    36.80
     21.00     53.00     26.30      7.31     94.40     20.00     71.00    36.70
     21.00     54.00     27.20      7.26     93.00     20.60     72.00    36.70
     21.00     55.00     24.60      7.18     85.00     20.50     73.00    36.70
     21.00     41.00     34.30      7.36     79.10     19.90     70.00    36.80

	

   TRIAL P50       SUM OF SQUARES

      15.0            486.7394
      15.1            480.7603
      15.2            474.7428
      15.3            468.6878
      15.4            462.5959
      15.5            456.4682
      15.6            450.3060
      15.7            444.1098
      15.8            437.8810
      15.9            431.6208
      16.0            425.3303
      16.1            419.0109
      16.2            412.6639
      16.3            406.2908
      16.4            399.8933
      16.5            393.4725
      16.6            387.0305
      16.7            380.5685
      16.8            374.0886
      16.9            367.5926
      17.0            361.0825
      17.1            354.5601
      17.2            348.0275
      17.3            341.4869
      17.4            334.9402
      17.5            328.3905
      17.6            321.8389
      17.7            315.2887
      17.8            308.7422
      17.9            302.2018
      18.0            295.6704
      18.1            289.1504
      18.2            282.6445
      18.3            276.1557
      18.4            269.6868
      18.5            263.2409
      18.6            256.8210
      18.7            250.4303
      18.8            244.0717
      18.9            237.7484
      19.0            231.4642
      19.1            225.2217
      19.2            219.0251
      19.3            212.8770
      19.4            206.7819
      19.5            200.7426
      19.6            194.7630
      19.7            188.8470
      19.8            182.9979
      19.9            177.2197
      20.0            171.5162
      20.1            165.8916
      20.2            160.3493
      20.3            154.8934
      20.4            149.5282
      20.5            144.2575
      20.6            139.0853
      20.7            134.0158
      20.8            129.0531
      20.9            124.2014
      21.0            119.4648
      21.1            114.8476
      21.2            110.3538
      21.3            105.9879
      21.4            101.7539
      21.5             97.6565
      21.6             93.6993
      21.7             89.8871
      21.8             86.2239
      21.9             82.7142
      22.0             79.3621
      22.1             76.1721
      22.2             73.1482
      22.3             70.2947
      22.4             67.6159
      22.5             65.1163
      22.6             62.7997
      22.7             60.6704
      22.8             58.7328
      22.9             56.9909
      23.0             55.4487
      23.1             54.1104
      23.2             52.9802
      23.3             52.0619
      23.4             51.3596
      23.5             50.8773
      23.6             50.6189
      23.7             50.5883
      23.8             50.7891
      23.9             51.2253
      24.0             51.9007
      24.1             52.8188
      24.2             53.9832
      24.3             55.3977
      24.4             57.0655
      24.5             58.9902
      24.6             61.1753
      24.7             63.6241
      24.8             66.3396
      24.9             69.3254
      25.0             72.5843
      25.1             76.1197
      25.2             79.9342
      25.3             84.0310
      25.4             88.4128
      25.5             93.0825
      25.6             98.0427
      25.7            103.2961
      25.8            108.8452
      25.9            114.6926
      26.0            120.8406
      26.1            127.2914
      26.2            134.0474
      26.3            141.1108
      26.4            148.4834
      26.5            156.1674
      26.6            164.1647
      26.7            172.4769
      26.8            181.1061
      26.9            190.0540
      27.0            199.3216
      27.1            208.9109
      27.2            218.8232
      27.3            229.0597
      27.4            239.6220
      27.5            250.5105
      27.6            261.7272
      27.7            273.2723
      27.8            285.1474
      27.9            297.3527
      28.0            309.8894
      28.1            322.7578
      28.2            335.9586
      28.3            349.4928
      28.4            363.3599
      28.5            377.5607
      28.6            392.0958
      28.7            406.9646
      28.8            422.1681
      28.9            437.7057
      29.0            453.5774
      29.1            469.7831
      29.2            486.3232
      29.3            503.1966
      29.4            520.4032
      29.5            537.9427
      29.6            555.8146
      29.7            574.0186
      29.8            592.5535
      29.9            611.4188
      30.0            630.6141
      30.1            650.1383
      30.2            669.9907
      30.3            690.1699
      30.4            710.6752
      30.5            731.5057
      30.6            752.6601
      30.7            774.1375
      30.8            795.9356
      30.9            818.0548
      31.0            840.4923
      31.1            863.2476
      31.2            886.3187
      31.3            909.7042
      31.4            933.4030
      31.5            957.4131
      31.6            981.7329
      31.7           1006.3610
      31.8           1031.2950
      31.9           1056.5330
      32.0           1082.0750
      32.1           1107.9170
      32.2           1134.0590
      32.3           1160.4970
      32.4           1187.2300
      32.5           1214.2570
      32.6           1241.5750
      32.7           1269.1820
      32.8           1297.0770
      32.9           1325.2550
      33.0           1353.7180
      33.1           1382.4610
      33.2           1411.4820
      33.3           1440.7800
      33.4           1470.3510
      33.5           1500.1950
      33.6           1530.3080
      33.7           1560.6880
      33.8           1591.3340
      33.9           1622.2430
      34.0           1653.4110
      34.1           1684.8380
      34.2           1716.5210
      34.3           1748.4560
      34.4           1780.6430
      34.5           1813.0780
      34.6           1845.7590
      34.7           1878.6850
      34.8           1911.8500
      34.9           1945.2560
      35.0           1978.8980
      35.1           2012.7730
      35.2           2046.8800
      35.3           2081.2170
      35.4           2115.7800
      35.5           2150.5670
      35.6           2185.5760
      35.7           2220.8060
      35.8           2256.2510
      35.9           2291.9100
      36.0           2327.7820
      36.1           2363.8640
      36.2           2400.1530
      36.3           2436.6470
      36.4           2473.3430
      36.5           2510.2390
      36.6           2547.3320
      36.7           2584.6210
      36.8           2622.1020
      36.9           2659.7740
      37.0           2697.6340
      37.1           2735.6790
      37.2           2773.9070
      37.3           2812.3160
      37.4           2850.9040
      37.5           2889.6680
      37.6           2928.6060
      37.7           2967.7150
      37.8           3006.9940
      37.9           3046.4400
      38.0           3086.0500
      38.1           3125.8230
      38.2           3165.7550
      38.3           3205.8460
      38.4           3246.0930
      38.5           3286.4930
      38.6           3327.0440
      38.7           3367.7450
      38.8           3408.5920
      38.9           3449.5840
      39.0           3490.7190
      39.1           3531.9940
      39.2           3573.4090
      39.3           3614.9580
      39.4           3656.6430
      39.5           3698.4590
      39.6           3740.4060
      39.7           3782.4810
      39.8           3824.6820
      39.9           3867.0060
      40.0           3909.4530

 MIN SSQ IS   50.59  AT A P50 OF  23.7  TORR,GIVING:

  SET #   VIRT PO2    MEAS SAT   KELMAN SAT     DIFF     LN PO2   LN(S/(1-S))
    1       48.37       86.40       88.41      -2.01      3.88        1.85
    2       50.82       94.40       89.91       4.49      3.93        2.82
    3       49.21       93.00       88.96       4.04      3.90        2.59
    4       47.23       85.00       87.62      -2.62      3.86        1.73
    5       40.18       79.10       80.88      -1.78      3.69        1.33



  MEAN VALUE OF MEASURED   SAT (X) =      87.6
  MEAN VALUE OF CALCULATED SAT (Y) =      87.2
  STANDARD DEVIATION OF MEASURED   SATURATIONS =       6.2
  STANDARD DEVIATION OF CALCULATED SATURATIONS =       3.6
  SLOPE OF LINEAR REGRESSION LINE =      .507
  Y INTERCEPT OF THIS LINE =    42.715
  CORRELATION COEFFICIENT =      .878

      #      SAMPLE     MEAS SAT (X)   CALC SAT (Y)    BEST FIT Y       DIFF

      1         1          86.40          88.41          86.56          1.86
      2         2          94.40          89.91          90.62          -.71
      3         3          93.00          88.96          89.91          -.95
      4         4          85.00          87.62          85.85          1.77
      5         5          79.10          80.88          82.85         -1.97



 LINEAR REGRESSION BETWEEN LOG PO2 & LOG(SAT/(1-SAT))

 HILL N IS THE SLOPE; P50 IS EXP(-INTERCEPT/SLOPE)

  MEAN VALUE OF      LOG PO2 (X)     =      3.85
  MEAN VALUE OF LOG(SAT/(1-SAT)) (Y) =      2.07
  STANDARD DEVIATION OF X =       .09
  STANDARD DEVIATION OF Y =       .62
  SLOPE OF LINEAR REGRESSION LINE =     5.662
  Y INTERCEPT OF THIS LINE =   -19.734
  CORRELATION COEFFICIENT =      .836


 #      SAMPLE     LOG PO2 (X)   LOG(SAT/(1-SAT)) (Y)  BEST FIT Y     DIFF

 1         1           3.88           1.85                2.23        -.38
 2         2           3.93           2.82                2.51         .32
 3         3           3.90           2.59                2.32         .26
 4         4           3.86           1.73                2.09        -.36
 5         5           3.69           1.33                1.18         .15


 HILL COEFFICIENT =  5.66   P50 =  32.6
