CMS03PO                                                     

   % INSP O2    PO2      PCO2        PH    MEAS SAT      HB      HCRIT     TEMP

     21.00     40.00     33.40      7.33     74.70     17.30     56.00    36.50
     21.00     41.00     32.50      7.36     75.80     17.20     56.00    36.50
     21.00     38.00     31.80      7.34     76.00     17.80     57.00    36.60
     21.00     45.00     28.50      7.34     78.70     18.20     58.00    36.60
     21.00     48.00     26.00      7.34     82.00     18.60     59.00    36.60
     21.00     35.00     40.00      7.29     68.40     18.40     61.00    36.50



   TRIAL P50       SUM OF SQUARES

      15.0           2008.2730
      15.1           1984.6370
      15.2           1960.8370
      15.3           1936.8780
      15.4           1912.7640
      15.5           1888.5030
      15.6           1864.0990
      15.7           1839.5570
      15.8           1814.8830
      15.9           1790.0850
      16.0           1765.1680
      16.1           1740.1390
      16.2           1715.0040
      16.3           1689.7700
      16.4           1664.4450
      16.5           1639.0350
      16.6           1613.5490
      16.7           1587.9930
      16.8           1562.3760
      16.9           1536.7050
      17.0           1510.9890
      17.1           1485.2350
      17.2           1459.4530
      17.3           1433.6490
      17.4           1407.8330
      17.5           1382.0140
      17.6           1356.2000
      17.7           1330.4000
      17.8           1304.6230
      17.9           1278.8780
      18.0           1253.1730
      18.1           1227.5200
      18.2           1201.9250
      18.3           1176.3990
      18.4           1150.9510
      18.5           1125.5900
      18.6           1100.3250
      18.7           1075.1670
      18.8           1050.1230
      18.9           1025.2040
      19.0           1000.4190
      19.1            975.7762
      19.2            951.2866
      19.3            926.9583
      19.4            902.8016
      19.5            878.8242
      19.6            855.0361
      19.7            831.4471
      19.8            808.0648
      19.9            784.8992
      20.0            761.9589
      20.1            739.2524
      20.2            716.7887
      20.3            694.5764
      20.4            672.6238
      20.5            650.9396
      20.6            629.5320
      20.7            608.4092
      20.8            587.5792
      20.9            567.0501
      21.0            546.8295
      21.1            526.9255
      21.2            507.3452
      21.3            488.0965
      21.4            469.1859
      21.5            450.6216
      21.6            432.4100
      21.7            414.5576
      21.8            397.0719
      21.9            379.9588
      22.0            363.2248
      22.1            346.8763
      22.2            330.9192
      22.3            315.3595
      22.4            300.2025
      22.5            285.4543
      22.6            271.1198
      22.7            257.2047
      22.8            243.7139
      22.9            230.6518
      23.0            218.0235
      23.1            205.8336
      23.2            194.0861
      23.3            182.7854
      23.4            171.9356
      23.5            161.5401
      23.6            151.6033
      23.7            142.1279
      23.8            133.1175
      23.9            124.5755
      24.0            116.5044
      24.1            108.9075
      24.2            101.7871
      24.3             95.1458
      24.4             88.9856
      24.5             83.3093
      24.6             78.1181
      24.7             73.4145
      24.8             69.1998
      24.9             65.4754
      25.0             62.2429
      25.1             59.5035
      25.2             57.2581
      25.3             55.5076
      25.4             54.2528
      25.5             53.4943
      25.6             53.2325
      25.7             53.4678
      25.8             54.2003
      25.9             55.4302
      26.0             57.1572
      26.1             59.3814
      26.2             62.1020
      26.3             65.3189
      26.4             69.0315
      26.5             73.2388
      26.6             77.9402
      26.7             83.1348
      26.8             88.8214
      26.9             94.9989
      27.0            101.6659
      27.1            108.8212
      27.2            116.4634
      27.3            124.5906
      27.4            133.2014
      27.5            142.2938
      27.6            151.8661
      27.7            161.9164
      27.8            172.4427
      27.9            183.4426
      28.0            194.9141
      28.1            206.8550
      28.2            219.2629
      28.3            232.1353
      28.4            245.4696
      28.5            259.2635
      28.6            273.5144
      28.7            288.2193
      28.8            303.3756
      28.9            318.9807
      29.0            335.0317
      29.1            351.5252
      29.2            368.4586
      29.3            385.8290
      29.4            403.6333
      29.5            421.8680
      29.6            440.5305
      29.7            459.6172
      29.8            479.1251
      29.9            499.0513
      30.0            519.3914
      30.1            540.1432
      30.2            561.3026
      30.3            582.8665
      30.4            604.8318
      30.5            627.1948
      30.6            649.9518
      30.7            673.0992
      30.8            696.6345
      30.9            720.5531
      31.0            744.8522
      31.1            769.5278
      31.2            794.5760
      31.3            819.9943
      31.4            845.7786
      31.5            871.9247
      31.6            898.4297
      31.7            925.2903
      31.8            952.5020
      31.9            980.0615
      32.0           1007.9660
      32.1           1036.2100
      32.2           1064.7910
      32.3           1093.7050
      32.4           1122.9500
      32.5           1152.5210
      32.6           1182.4140
      32.7           1212.6260
      32.8           1243.1540
      32.9           1273.9940
      33.0           1305.1430
      33.1           1336.5950
      33.2           1368.3490
      33.3           1400.4010
      33.4           1432.7470
      33.5           1465.3840
      33.6           1498.3070
      33.7           1531.5140
      33.8           1565.0020
      33.9           1598.7660
      34.0           1632.8030
      34.1           1667.1100
      34.2           1701.6840
      34.3           1736.5200
      34.4           1771.6170
      34.5           1806.9690
      34.6           1842.5750
      34.7           1878.4300
      34.8           1914.5310
      34.9           1950.8750
      35.0           1987.4600
      35.1           2024.2810
      35.2           2061.3350
      35.3           2098.6190
      35.4           2136.1300
      35.5           2173.8650
      35.6           2211.8210
      35.7           2249.9940
      35.8           2288.3820
      35.9           2326.9810
      36.0           2365.7890
      36.1           2404.8010
      36.2           2444.0180
      36.3           2483.4320
      36.4           2523.0430
      36.5           2562.8480
      36.6           2602.8430
      36.7           2643.0260
      36.8           2683.3940
      36.9           2723.9440
      37.0           2764.6740
      37.1           2805.5790
      37.2           2846.6580
      37.3           2887.9090
      37.4           2929.3270
      37.5           2970.9120
      37.6           3012.6590
      37.7           3054.5660
      37.8           3096.6320
      37.9           3138.8520
      38.0           3181.2240
      38.1           3223.7470
      38.2           3266.4170
      38.3           3309.2330
      38.4           3352.1900
      38.5           3395.2880
      38.6           3438.5230
      38.7           3481.8940
      38.8           3525.3970
      38.9           3569.0310
      39.0           3612.7930
      39.1           3656.6810
      39.2           3700.6920
      39.3           3744.8250
      39.4           3789.0760
      39.5           3833.4450
      39.6           3877.9280
      39.7           3922.5230
      39.8           3967.2290
      39.9           4012.0430
      40.0           4056.9630

 MIN SSQ IS   53.23  AT A P50 OF  25.6  TORR,GIVING:

  SET #   VIRT PO2    MEAS SAT   KELMAN SAT     DIFF     LN PO2   LN(S/(1-S))
    1       39.04       74.70       75.34       -.64      3.66        1.08
    2       41.17       75.80       78.21      -2.41      3.72        1.14
    3       37.20       76.00       72.58       3.42      3.62        1.15
    4       44.26       78.70       81.82      -3.12      3.79        1.31
    5       47.87       82.00       85.24      -3.24      3.87        1.52
    6       32.54       68.40       64.52       3.88      3.48         .77



  MEAN VALUE OF MEASURED   SAT (X) =      75.9
  MEAN VALUE OF CALCULATED SAT (Y) =      76.3
  STANDARD DEVIATION OF MEASURED   SATURATIONS =       4.5
  STANDARD DEVIATION OF CALCULATED SATURATIONS =       7.3
  SLOPE OF LINEAR REGRESSION LINE =     1.547
  Y INTERCEPT OF THIS LINE =   -41.158
  CORRELATION COEFFICIENT =      .958

      #      SAMPLE     MEAS SAT (X)   CALC SAT (Y)    BEST FIT Y       DIFF

      1         1          74.70          75.34          74.38           .96
      2         2          75.80          78.21          76.08          2.13
      3         3          76.00          72.58          76.39         -3.81
      4         4          78.70          81.82          80.56          1.26
      5         5          82.00          85.24          85.67          -.43
      6         6          68.40          64.52          64.63          -.11



 LINEAR REGRESSION BETWEEN LOG PO2 & LOG(SAT/(1-SAT))

 HILL N IS THE SLOPE; P50 IS EXP(-INTERCEPT/SLOPE)

  MEAN VALUE OF      LOG PO2 (X)     =      3.69
  MEAN VALUE OF LOG(SAT/(1-SAT)) (Y) =      1.16
  STANDARD DEVIATION OF X =       .14
  STANDARD DEVIATION OF Y =       .25
  SLOPE OF LINEAR REGRESSION LINE =     1.752
  Y INTERCEPT OF THIS LINE =    -5.303
  CORRELATION COEFFICIENT =      .960


 #      SAMPLE     LOG PO2 (X)   LOG(SAT/(1-SAT)) (Y)  BEST FIT Y     DIFF

 1         1           3.66           1.08                1.12        -.04
 2         2           3.72           1.14                1.21        -.07
 3         3           3.62           1.15                1.03         .12
 4         4           3.79           1.31                1.34        -.03
 5         5           3.87           1.52                1.47         .04
