CMS03PR                                                     

   % INSP O2    PO2      PCO2        PH    MEAS SAT      HB      HCRIT     TEMP

     21.00     40.00     28.70      7.34     80.00     19.70     71.00    36.90
     21.00     45.00     31.20      7.34     87.50     21.00     71.00    36.90
     21.00     47.00     24.00      7.30     89.50     21.30     72.00    36.90
     21.00     48.00     23.60      7.29     92.00     21.50     71.00    36.90
     21.00     40.00     37.70      7.29     74.90     20.60     69.00    36.90



   TRIAL P50       SUM OF SQUARES

      15.0            636.3234
      15.1            626.1104
      15.2            615.8421
      15.3            605.5221
      15.4            595.1530
      15.5            584.7372
      15.6            574.2786
      15.7            563.7802
      15.8            553.2451
      15.9            542.6775
      16.0            532.0806
      16.1            521.4587
      16.2            510.8152
      16.3            500.1545
      16.4            489.4807
      16.5            478.7985
      16.6            468.1119
      16.7            457.4257
      16.8            446.7449
      16.9            436.0740
      17.0            425.4183
      17.1            414.7828
      17.2            404.1724
      17.3            393.5930
      17.4            383.0497
      17.5            372.5481
      17.6            362.0936
      17.7            351.6927
      17.8            341.3508
      17.9            331.0736
      18.0            320.8676
      18.1            310.7385
      18.2            300.6929
      18.3            290.7368
      18.4            280.8766
      18.5            271.1188
      18.6            261.4701
      18.7            251.9364
      18.8            242.5249
      18.9            233.2417
      19.0            224.0938
      19.1            215.0876
      19.2            206.2302
      19.3            197.5280
      19.4            188.9879
      19.5            180.6166
      19.6            172.4212
      19.7            164.4079
      19.8            156.5838
      19.9            148.9555
      20.0            141.5300
      20.1            134.3136
      20.2            127.3134
      20.3            120.5358
      20.4            113.9875
      20.5            107.6750
      20.6            101.6047
      20.7             95.7833
      20.8             90.2170
      20.9             84.9122
      21.0             79.8752
      21.1             75.1121
      21.2             70.6292
      21.3             66.4322
      21.4             62.5273
      21.5             58.9202
      21.6             55.6165
      21.7             52.6223
      21.8             49.9426
      21.9             47.5832
      22.0             45.5493
      22.1             43.8461
      22.2             42.4787
      22.3             41.4520
      22.4             40.7709
      22.5             40.4401
      22.6             40.4642
      22.7             40.8476
      22.8             41.5947
      22.9             42.7095
      23.0             44.1963
      23.1             46.0588
      23.2             48.3010
      23.3             50.9262
      23.4             53.9382
      23.5             57.3402
      23.6             61.1354
      23.7             65.3269
      23.8             69.9175
      23.9             74.9100
      24.0             80.3071
      24.1             86.1112
      24.2             92.3246
      24.3             98.9496
      24.4            105.9881
      24.5            113.4421
      24.6            121.3131
      24.7            129.6030
      24.8            138.3131
      24.9            147.4448
      25.0            156.9992
      25.1            166.9772
      25.2            177.3799
      25.3            188.2080
      25.4            199.4622
      25.5            211.1430
      25.6            223.2505
      25.7            235.7852
      25.8            248.7471
      25.9            262.1361
      26.0            275.9523
      26.1            290.1950
      26.2            304.8641
      26.3            319.9591
      26.4            335.4796
      26.5            351.4241
      26.6            367.7923
      26.7            384.5836
