CON09                                                       

   % INSP O2    PO2      PCO2        PH    MEAS SAT      HB      HCRIT     TEMP

     21.00     47.00     30.10      7.39     82.70     17.70     52.00    36.40
     21.00     52.00     30.20      7.31     85.10     18.80     59.00    36.20
     21.00     58.00     21.30      7.28     85.20     18.80     60.00    36.10
     21.00     49.00     22.00      7.17     82.40     19.20     60.00    36.00
     21.00     38.00     37.80      7.39     71.80     16.80     55.00    36.40



   TRIAL P50       SUM OF SQUARES

      15.0           1153.0370
      15.1           1142.9650
      15.2           1132.8060
      15.3           1122.5590
      15.4           1112.2260
      15.5           1101.8070
      15.6           1091.3040
      15.7           1080.7170
      15.8           1070.0470
      15.9           1059.2940
      16.0           1048.4610
      16.1           1037.5490
      16.2           1026.5580
      16.3           1015.4900
      16.4           1004.3460
      16.5            993.1288
      16.6            981.8387
      16.7            970.4780
      16.8            959.0478
      16.9            947.5510
      17.0            935.9885
      17.1            924.3631
      17.2            912.6766
      17.3            900.9313
      17.4            889.1293
      17.5            877.2726
      17.6            865.3647
      17.7            853.4073
      17.8            841.4034
      17.9            829.3552
      18.0            817.2658
      18.1            805.1384
      18.2            792.9757
      18.3            780.7803
      18.4            768.5557
      18.5            756.3051
      18.6            744.0316
      18.7            731.7390
      18.8            719.4297
      18.9            707.1079
      19.0            694.7773
      19.1            682.4407
      19.2            670.1027
      19.3            657.7665
      19.4            645.4356
      19.5            633.1144
      19.6            620.8063
      19.7            608.5157
      19.8            596.2466
      19.9            584.0026
      20.0            571.7882
      20.1            559.6071
      20.2            547.4639
      20.3            535.3624
      20.4            523.3073
      20.5            511.3026
      20.6            499.3525
      20.7            487.4616
      20.8            475.6339
      20.9            463.8739
      21.0            452.1862
      21.1            440.5750
      21.2            429.0446
      21.3            417.5997
      21.4            406.2446
      21.5            394.9834
      21.6            383.8210
      21.7            372.7615
      21.8            361.8095
      21.9            350.9693
      22.0            340.2453
      22.1            329.6420
      22.2            319.1634
      22.3            308.8141
      22.4            298.5985
      22.5            288.5208
      22.6            278.5854
      22.7            268.7962
      22.8            259.1576
      22.9            249.6739
      23.0            240.3490
      23.1            231.1873
      23.2            222.1926
      23.3            213.3690
      23.4            204.7205
      23.5            196.2510
      23.6            187.9643
      23.7            179.8645
      23.8            171.9551
      23.9            164.2398
      24.0            156.7227
      24.1            149.4070
      24.2            142.2964
      24.3            135.3942
      24.4            128.7043
      24.5            122.2296
      24.6            115.9739
      24.7            109.9401
      24.8            104.1313
      24.9             98.5511
      25.0             93.2022
      25.1             88.0877
      25.2             83.2105
      25.3             78.5735
      25.4             74.1794
      25.5             70.0312
      25.6             66.1311
      25.7             62.4821
      25.8             59.0866
      25.9             55.9469
      26.0             53.0656
      26.1             50.4448
      26.2             48.0868
      26.3             45.9938
      26.4             44.1679
      26.5             42.6110
      26.6             41.3252
      26.7             40.3122
      26.8             39.5740
      26.9             39.1122
      27.0             38.9284
      27.1             39.0244
      27.2             39.4016
      27.3             40.0614
      27.4             41.0052
      27.5             42.2343
      27.6             43.7500
      27.7             45.5535
      27.8             47.6459
      27.9             50.0280
      28.0             52.7009
      28.1             55.6657
      28.2             58.9231
      28.3             62.4738
      28.4             66.3185
      28.5             70.4580
      28.6             74.8927
      28.7             79.6232
      28.8             84.6498
      28.9             89.9731
      29.0             95.5934
      29.1            101.5111
      29.2            107.7259
      29.3            114.2384
      29.4            121.0485
      29.5            128.1564
      29.6            135.5619
      29.7            143.2651
      29.8            151.2659
      29.9            159.5638
      30.0            168.1587
      30.1            177.0503
      30.2            186.2388
      30.3            195.7228
      30.4            205.5027
      30.5            215.5775
      30.6            225.9471
      30.7            236.6105
      30.8            247.5675
      30.9            258.8170
      31.0            270.3587
      31.1            282.1914
      31.2            294.3147
      31.3            306.7274
      31.4            319.4288
      31.5            332.4181
      31.6            345.6941
      31.7            359.2559
      31.8            373.1025
      31.9            387.2329
      32.0            401.6459
      32.1            416.3399
      32.2            431.3144
      32.3            446.5678
      32.4            462.0990
      32.5            477.9070
      32.6            493.9899
      32.7            510.3471
      32.8            526.9764
      32.9            543.8774
      33.0            561.0480
      33.1            578.4870
      33.2            596.1927
      33.3            614.1639
      33.4            632.3990
      33.5            650.8964
      33.6            669.6550
      33.7            688.6724
      33.8            707.9475
      33.9            727.4788
      34.0            747.2642
      34.1            767.3027
      34.2            787.5923
      34.3            808.1315
      34.4            828.9182
      34.5            849.9503
      34.6            871.2278
      34.7            892.7469
      34.8            914.5075
      34.9            936.5069
      35.0            958.7436
      35.1            981.2155
      35.2           1003.9210
      35.3           1026.8590
      35.4           1050.0260
      35.5           1073.4220
      35.6           1097.0450
      35.7           1120.8910
      35.8           1144.9610
      35.9           1169.2510
      36.0           1193.7610
      36.1           1218.4870
      36.2           1243.4290
      36.3           1268.5840
      36.4           1293.9500
      36.5           1319.5270
      36.6           1345.3100
      36.7           1371.3010
      36.8           1397.4950
      36.9           1423.8900
      37.0           1450.4870
      37.1           1477.2810
      37.2           1504.2720
      37.3           1531.4580
      37.4           1558.8350
      37.5           1586.4040
      37.6           1614.1620
      37.7           1642.1070
      37.8           1670.2370
      37.9           1698.5500
      38.0           1727.0450
      38.1           1755.7190
      38.2           1784.5710
      38.3           1813.5980
      38.4           1842.8000
      38.5           1872.1740
      38.6           1901.7170
      38.7           1931.4300
      38.8           1961.3090
      38.9           1991.3520
      39.0           2021.5580
      39.1           2051.9260
      39.2           2082.4530
      39.3           2113.1370
      39.4           2143.9780
      39.5           2174.9720
      39.6           2206.1180
      39.7           2237.4150
      39.8           2268.8590
      39.9           2300.4510
      40.0           2332.1880

 MIN SSQ IS   38.93  AT A P50 OF  27.0  TORR,GIVING:

  SET #   VIRT PO2    MEAS SAT   KELMAN SAT     DIFF     LN PO2   LN(S/(1-S))
    1       49.01       82.70       84.01      -1.31      3.89        1.56
    2       51.07       85.10       85.69       -.59      3.93        1.74
    3       56.94       85.20       89.43      -4.23      4.04        1.75
    4       43.31       82.40       78.07       4.33      3.77        1.54
    5       39.05       71.80       72.30       -.50      3.66         .93



  MEAN VALUE OF MEASURED   SAT (X) =      81.4
  MEAN VALUE OF CALCULATED SAT (Y) =      81.9
  STANDARD DEVIATION OF MEASURED   SATURATIONS =       5.5
  STANDARD DEVIATION OF CALCULATED SATURATIONS =       6.8
  SLOPE OF LINEAR REGRESSION LINE =     1.087
  Y INTERCEPT OF THIS LINE =    -6.632
  CORRELATION COEFFICIENT =      .893

      #      SAMPLE     MEAS SAT (X)   CALC SAT (Y)    BEST FIT Y       DIFF

      1         1          82.70          84.01          83.27           .74
      2         2          85.10          85.69          85.88          -.19
      3         3          85.20          89.43          85.99          3.44
      4         4          82.40          78.07          82.95         -4.87
      5         5          71.80          72.30          71.42           .88



 LINEAR REGRESSION BETWEEN LOG PO2 & LOG(SAT/(1-SAT))

 HILL N IS THE SLOPE; P50 IS EXP(-INTERCEPT/SLOPE)

  MEAN VALUE OF      LOG PO2 (X)     =      3.86
  MEAN VALUE OF LOG(SAT/(1-SAT)) (Y) =      1.51
  STANDARD DEVIATION OF X =       .15
  STANDARD DEVIATION OF Y =       .33
  SLOPE OF LINEAR REGRESSION LINE =     1.997
  Y INTERCEPT OF THIS LINE =    -6.200
  CORRELATION COEFFICIENT =      .876


 #      SAMPLE     LOG PO2 (X)   LOG(SAT/(1-SAT)) (Y)  BEST FIT Y     DIFF

 1         1           3.89           1.56                1.57        -.00
 2         2           3.93           1.74                1.65         .09
 3         3           4.04           1.75                1.87        -.12
 4         4           3.77           1.54                1.32         .22
 5         5           3.66            .93                1.12        -.18


 HILL COEFFICIENT =  2.00   P50 =  22.3
